,,,,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol
sp,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
group,sr_type,run_no,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,DF,19,2020-12-01,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.173,0.936,1.392,3.01,5.593,5.674,4.174,4.322,3.561,7.633,9.646,10.16,6.899,10.154,10.874,8.582,2.926,4.029,4.504,6.018,5.272,5.023,3.545,5.366,10.55,9.22,12.27,11.182,7.623,6.399,2.737,1.705,1.938,2.795,2.289,2.022,1.738,0.853,0.777,3.159,2.049,2.37,2.253,2.668,4.612,4.633,2.72,3.206
P,R3,14,2020-12-01,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.086,0.087,0.076,0.003,0.07,0.59,1.11,0.99,0.92,1.46,1.37,1.85,1.92,1.12,0.82,1.3,1.23,1.01,0.98,1.58,1.44,1.01,0.76,1.32,1.41,1.2,0.45,0.26,0.7,1.04,1.09,1.3,1.81,1.9,1.72,1.58,1.69,2.12,2.39,3.1,3.13,4.12,5.94,7.22,6.17,4.57,2.63,1.49
P,R1,7,2020-12-01,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,0.42,0.47,0.21,0.16,0.31,0.124,0.08,0.032,0.055,0.087,0.069,0.067,0.109,0.052,0.022,0.018,0.021,0.029,0.21,0.005,0.025,0.03,0.001,0.015,0.15,0.28,0.21,0.07,0.05,0.046,0.01,0.1,0.051,0.044,0.08,0.085,0.062,0.03,0.025,0.08,0.052,0.003,0.014,0.071,0.081,0.083,0.085,0.084
