,,,,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol
sp,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
group,sr_type,run_no,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,DF,19,2020-12-01,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,64.625,61.83,58.195,55.745,54.51,53.195,52.68,52.165,51.85,51.955,52.82,53.68,56.125,59.125,63.92,67.275,70.33,73.68,76.905,79.13,80.415,80.885,81.765,82.39,83.39,83.54,84.2,82.01,82.475,81.415,82.51,82.48,81.995,82.84,81.705,82.925,83.635,82.68,82.14,80.45,79.38,78.87,81.565,80.72,78.055,74.13,69.635,66.6
J,DF,19,2020-12-01,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,62.235,59.055,55.155,53.98,52.855,51.915,51.255,51.135,52.69,53.225,56.71,59.385,66.545,71.915,80.55,86.3,87.175,89.255,90.01,89.74,92.44,93.11,95.985,96.345,97.925,98.185,99.045,100.435,102.55,101.32,99.195,97.31,97.97,99.97,98.925,100.02,100.845,100.18,98.675,94.425,92.5,93.37,92.875,90.145,84.49,78.835,69.53,64.485
J,R2,10,2020-12-01,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,41.51,40.085,38.395,37.4,35.35,34.6,34.625,34.42,34.44,34.765,36.465,37.015,39.09,41.21,43.235,45.845,49.07,51.675,53.455,54.74,56.06,56.585,56.61,57.385,58.72,59.595,59.785,58.965,58.44,58.495,58.715,58.365,58.355,58.35,58.65,58.92,57.885,56.68,55.355,54.74,54.07,54.29,54.385,52.105,50.965,48.435,45.19,42.985
J,SF,4,2020-12-01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,37.285,35.465,33.465,32.15,32.945,32.97,34.33,34.29,35.095,35.45,37.98,40.045,42.49,47.23,52.14,54.815,56.22,56.835,58.55,58.93,59.985,59.63,59.87,60.695,60.635,61.29,60.605,59.7,60.975,60.45,59.82,61.465,64.07,69.36,71.515,72.505,72.925,71.915,67.895,63.44,60.775,56.475,54.315,51.045,47.685,44.935,42.245,39.415
