,,,,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ei,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,ii,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol,vol
sp,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
group,sr_type,run_no,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,DF,19,2020-12-01,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,37.53,36.155,37.295,36.39,35.66,34.685,34.62,34.29,34.49,34.335,35.66,36.085,39.3,40.555,42.935,41.865,41.14,40.535,36.705,30.155,22.32,14.835,10.86,6.19,2.07,2.245,7.56,11.165,14.34,13.6,12.41,9.54,5.26,4.475,15.545,22.42,31.05,38.765,45.905,47.785,49.015,50.44,49.83,48.425,46.055,43.795,43.015,40.445
L,R3,14,2020-12-01,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,42.97,41.985,46.2,47.225,47.505,45.83,44.345,43.205,42.395,41.56,41.815,41.98,42.245,39.07,38.11,33.4,27.07,16.93,8.94,5.91,1.23,8.935,15.995,23.72,25.145,30.695,32.15,29.555,20.33,25.28,25.86,27.775,28.805,20.495,7.89,0.195,3.49,11.745,19.71,22.04,25.595,27.435,25.27,17.125,10.165,4.885,3.5,8.16
L,R2,10,2020-12-01,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,40.37,37.865,38.635,37.93,37.245,35.865,34.735,34.59,35.695,35.61,36.375,38.035,40.84,44.415,43.915,44.885,43.46,39.565,33.655,29.265,22.63,11.325,10.405,1.88,3.28,5.265,3.955,4.365,6.68,4.605,2.32,3.375,10.315,17.41,24.48,32.72,41.035,49.015,55.29,57.78,58.61,59.03,59.555,55.745,51.695,48.615,45.765,41.735
L,SF,4,2020-12-01,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,40.47,41.685,41.105,37.075,36.005,33.21,28.965,24.825,21.775,21.505,21.735,23.405,28.755,32.94,34.045,35.41,32.425,31.82,30.005,28.895,26.855,23.58,20.28,16.815,16.425,17.75,17.27,19.4,21.07,20.845,21.915,24.07,26.865,32.945,35.52,33.245,34.005,33.055,31.315,28.43,24.125,22.795,20.105,17.035,12.125,7.16,3.79,2.245
